STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
BIHAR,2019,1127,4735,1373,572,69,4672,5,12553
CHHATTISGARH,2019,1436,1393,128,2122,79,964,0,6122
GOA,2019,95,86,0,202,57,35,0,475
GUJARAT,2019,841,2187,23,1352,173,5991,0,10567
HARYANA,2019,1174,1922,293,1688,102,3478,0,8657
HIMACHAL PRADESH,2019,283,227,1,538,60,325,0,1434
JAMMU AND KASHMIR,2019,331,813,5,1421,237,467,0,3274
JHARKHAND,2019,1050,885,350,440,18,1462,2,4207
KARNATAKA,2019,1324,1457,313,5263,170,3025,0,11552
KERALA,2019,1347,143,28,4367,257,4919,0,11061
MADHYA PRADESH,2019,5076,5688,733,9609,429,6451,0,27986
MAHARASHTRA,2019,3438,2457,279,10001,1575,7696,1,25447
MANIPUR,2019,75,121,1,98,0,41,0,336
MEGHALAYA,2019,118,38,1,105,54,42,0,358
MIZORAM,2019,120,3,0,97,29,8,0,257
NAGALAND,2019,30,13,0,16,1,3,0,63
ODISHA,2019,1978,2436,441,5543,379,3114,0,13891
PUNJAB,2019,981,1176,90,1113,35,1681,0,5076
RAJASTHAN,2019,3759,4421,408,5999,18,15905,0,30510
SIKKIM,2019,47,12,0,34,3,5,0,101
TAMIL NADU,2019,455,1502,95,1102,229,2103,0,5486
TRIPURA,2019,239,102,33,492,11,702,0,1579
UTTAR PRADESH,2019,3467,10626,2469,8605,29,10471,0,35667
UTTARAKHAND,2019,270,275,38,343,4,301,0,1231
WEST BENGAL,2019,3409,5904,504,5846,546,23564,5,39778
A&N Islands,2019,32,17,3,41,5,14,0,112
CHANDIGARH,2019,59,133,2,87,2,141,0,424
D&N Haveli,2019,5,7,0,2,1,6,0,21
DAMAN AND DIU,2019,2,1,0,3,0,1,0,7
DELHI,2019,2096,4034,153,4322,1361,3173,0,15139
LAKSHADWEEP,2019,1,0,0,1,2,0,0,4
PUDUCHERRY,2019,10,7,1,32,8,4,0,62
ANDHRA PRADESH,2019,2132,1332,436,8224,3488,13450,0,29062
ARUNACHAL PRADESH,2020,71,128,0,101,2,66,0,368
ASSAM,2020,1733,5039,216,4293,111,11225,0,22617
BIHAR,2020,1041,5158,1154,198,96,3792,0,11439
CHHATTISGARH,2020,1560,1354,89,1868,53,620,0,5544
GOA,2020,86,70,0,150,34,19,0,359
GUJARAT,2020,503,1569,12,1164,73,4133,0,7454
HARYANA,2020,1070,2336,243,1886,90,3525,0,9150
HIMACHAL PRADESH,2020,244,239,2,434,58,226,0,1203
JAMMU AND KASHMIR,2020,296,1071,6,1343,175,400,0,3291
JHARKHAND,2020,1053,930,267,844,10,1654,0,4758
KARNATAKA,2020,589,1611,254,5112,154,2732,0,10452
KERALA,2020,1256,192,8,3987,267,3668,0,9378
MADHYA PRADESH,2020,4391,4547,664,8049,390,5281,0,23322
MAHARASHTRA,2020,4144,5096,268,11713,1119,7640,0,29980
MANIPUR,2020,46,94,0,84,2,39,0,265
MEGHALAYA,2020,93,58,1,95,20,44,0,311
MIZORAM,2020,58,8,0,75,2,9,0,152
NAGALAND,2020,35,30,0,8,9,4,0,86
ODISHA,2020,2251,2587,356,6499,472,3605,0,15770
PUNJAB,2020,886,1253,85,1123,27,1583,0,4957
RAJASTHAN,2020,3644,4167,463,4813,9,14383,0,27479
SIKKIM,2020,5,21,1,21,2,2,0,52
TAMIL NADU,2020,421,1335,65,1163,20,1900,0,4904
TRIPURA,2020,213,120,28,352,6,501,0,1220
UTTAR PRADESH,2020,3025,10135,2335,7885,11,8660,0,32051
UTTARAKHAND,2020,283,336,54,318,12,407,2,1412
WEST BENGAL,2020,1199,3938,498,5069,455,20163,4,31326
ANDAMAN AND NICOBAR ISLANDS,2020,36,21,0,57,5,14,0,133
CHANDIGARH,2020,72,165,5,76,10,126,0,454
D&N Haveli,2020,8,9,1,5,0,2,0,25
DAMAN AND DIU,2020,5,13,0,7,0,3,0,28
DELHI,2020,2199,4301,122,5367,1492,3521,0,17002
LAKSHADWEEP,2020,0,0,0,6,1,2,0,9
PUDUCHERRY,2020,3,14,1,33,10,4,0,65
